,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std
0,0.8101165121087719,0.4950249168749803,0.7815465703888669,0.4950249168749386,0.1128070748575695,0.49502491687521477,0.21688862760749456,0.4950249168749406,0.12766377142126897,0.4950249168751452
1,0.8001222444450318,0.4900953151247333,0.7715535700101589,0.4900958371140095,0.12280736528001342,0.4900962353953762,0.22688710935766052,0.4900975360974398,0.1376638701203926,0.49009651841194235
2,0.7901374467930427,0.48520866428958603,0.7615722142119353,0.48521050845142677,0.13280752736997123,0.4852111105491576,0.23688200792079073,0.4852160317072711,0.14766345162964048,0.4852121497634774
3,0.780166804173786,0.48036252267237345,0.7516082786154907,0.4803667602899786,0.14280733662589024,0.48036720768079183,0.24687131946756483,0.4803787920334252,0.15766205900373473,0.4803695813552956
4,0.7702152880916004,0.4755547181455194,0.7416679002440653,0.47556266512312256,0.15280630437741552,0.4755621076784594,0.2568525535436541,0.4755841656748532,0.1676589486401839,0.47556651055672033
5,0.7602876748522224,0.47078343408184053,0.7317570144673997,0.47079661106851206,0.16280335998907708,0.4707930330191416,0.26682230606668217,0.4708303440099805,0.1776527504166476,0.4708003145209493
6,0.7503882212310596,0.46604724510004414,0.7218809857276898,0.4660673281302202,0.1727966381119115,0.4660568283505223,0.2767759010866169,0.4661153461546811,0.18764124827888137,0.46606803831118215
7,0.7405206198700142,0.4613450837373548,0.7120445642061628,0.46137385576728285,0.18278344063843321,0.4613501623073866,0.2867072349653742,0.4614371003019986,0.19762133441723526,0.46136656965983613
8,0.7306880841507327,0.45667618275772376,0.7022519915985621,0.45671549134847506,0.1927602739116591,0.45666975906893265,0.29660875947675075,0.45679355570540936,0.20758903888265548,0.4566928397862116
9,0.7208935603547185,0.45203999619296664,0.6925072494402176,0.4520917223971419,0.20272296235147788,0.45201261103323054,0.30647160066493784,0.45218279831632363,0.21753964319690924,0.45204401420585977
10,0.7111401125633928,0.4474361004571427,0.6828145069947251,0.4475021436535619,0.21266687105750604,0.44737617196782137,0.31628584202430154,0.4476031646362737,0.22746790740645573,0.4474176709883554
11,0.701431382076076,0.44286410554201017,0.673178660069094,0.4429463840751557,0.22258717697224029,0.4427584858487645,0.32604091145922587,0.44305333126239016,0.23736835113332588,0.4428119259867549
12,0.6917720384268424,0.43832359236142215,0.663605865641386,0.4384240567230548,0.23247913506027737,0.4381582391569967,0.3357259972057833,0.43853236372885207,0.2472355344026824,0.4382254900470492
13,0.682168169443685,0.43381408192485443,0.6541040107496663,0.4339347356855839,0.2423383016599151,0.4335747472368939,0.3453304207662059,0.434039721140715,0.2570642939663024,0.433657662281851
14,0.672627503750442,0.4293350482670025,0.6446829906986912,0.42947796929421433,0.2521606391578004,0.42900787452821104,0.354843840859723,0.4295752159462601,0.2668498554123974,0.42910825885495674
15,0.6631594190003172,0.42488596933634337,0.6353547393323715,0.42505332413961444,0.2619424690387882,0.42445790811707945,0.364256221592167,0.425138942948986,0.2765877891185222,0.4245774974601708
16,0.6537747778295945,0.4204663927988105,0.6261330544908297,0.4206604403703462,0.27168030583815156,0.41992541723336435,0.37355759977915926,0.4207311990804529,0.28627384088644475,0.42006586827327275
17,0.6444856576285835,0.4160759952478958,0.6170332901422154,0.4162990802158645,0.28137062379086397,0.41541112377095457,0.38273772667382444,0.41635240940284046,0.29590368692789193,0.4155740143047736
18,0.6353050734072812,0.4117146187318314,0.6080720279617383,0.4119691566122375,0.29100962786229345,0.4109158060635938,0.39178570288039694,0.4120030717476835,0.3054726903825518,0.4111026424117337
19,0.6262468016638291,0.4073822786281285,0.5992668557502941,0.4076707376745301,0.3005931005129288,0.4064402501183918,0.4006897324124249,0.40768372703453026,0.3149757370532983,0.4066524780644921
20,0.6173253349461745,0.40307915068334527,0.5906362904369004,0.4034040340131057,0.310116340097807,0.40198524014846787,0.4094370336908825,0.40339495030154265,0.3244071666460202,0.402224255776169
21,0.6085559119050868,0.39880554996601425,0.5821997808371848,0.3991693793812402,0.3195741527971005,0.3975515660979418,0.41801385235412825,0.3991373507249528,0.3337607605277385,0.3978187252488605
22,0.5999545437538757,0.39456191051598,0.5739776940934737,0.3949672114937717,0.3289608483202386,0.3931400298576559,0.4264054948486078,0.3949115711509609,0.34302973481641175,0.3934366570795368
23,0.5915379750382382,0.39034876933174484,0.5659912093354911,0.3907980556392313,0.33827020327695273,0.3887514429144496,0.4345963214572413,0.3907182830335391,0.3522066991943249,0.3890788412790579
24,0.5833235587935186,0.3861667542561354,0.5582620935594261,0.38666251070013063,0.3474953836719986,0.38438661850490935,0.44256968408682534,0.38655817773218476,0.36128357203588685,0.38474608089425916
