,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std
0,[0.4802143067424557],[0.05530693790030031],[0.48093896309364254],[0.05503444785038817],[0.4797503829100983],[0.05566865489328618],[0.5233102842975826],[0.0713313158165523],[0.4948020290429386],[0.06433622718053691]
1,[0.47968290740287156],[0.0589200383671031],[0.48043940302441235],[0.058624633409722286],[0.47899471991721015],[0.05923118524074388],[0.5255075920841752],[0.07918696434767392],[0.49551903660134994],[0.07915257870324674]
2,[0.47897724993719965],[0.05878237349979398],[0.48006379688278644],[0.05880811113814554],[0.47921609307494084],[0.05933813639713919],[0.5252222149563156],[0.07918613723041784],[0.4958109699331337],[0.07914873097023885]
3,[0.478886770194342],[0.058821687741011264],[0.47980646638005175],[0.0590857793261742],[0.4792281993983967],[0.05955560817551926],[0.5255349285253513],[0.07918663623142455],[0.4950173070284435],[0.07914746748605021]
4,[0.47906055810094017],[0.05893232300307644],[0.4798697550394828],[0.05947808888867082],[0.4790200947645625],[0.05993286040671247],[0.5253819759764229],[0.07918608576783358],[0.4961508216753315],[0.07914314570997767]
5,[0.47922242323152486],[0.05914984383536791],[0.4801658775360776],[0.05994021665301448],[0.47927674422455074],[0.06037430277909444],[0.524954371413278],[0.07918627226044737],[0.49522189463775557],[0.07913921345122764]
6,[0.47884191654329095],[0.0593943307212912],[0.4799673063312693],[0.0605720265126598],[0.4792686998889341],[0.06094037853115516],[0.5245806879736884],[0.07918833114409402],[0.4953264529033182],[0.0791353169822264]
7,[0.47901203283333715],[0.05965540624999244],[0.480305302692422],[0.06139046440793501],[0.4794977423840052],[0.06146734368235178],[0.5250592695777655],[0.07918574818494226],[0.4958655939558394],[0.07913149672322028]
8,[0.4782621835383706],[0.060077486289368036],[0.47987059952147154],[0.06209730162355459],[0.4801528063220933],[0.0622392850946854],[0.5257543431713552],[0.0791873562234017],[0.4960572897916262],[0.07912913037428071]
9,[0.4781543288054121],[0.06045566138344009],[0.4799726603649246],[0.06308260425815156],[0.4805123209194258],[0.06283980159274508],[0.5255291727254049],[0.07918603731559051],[0.4951507400016077],[0.07912582160326977]
10,[0.47822188148631445],[0.06090686437970686],[0.47981241175082995],[0.06395227946055841],[0.4806409101082193],[0.06367792756292931],[0.5256349196933962],[0.07918656427516561],[0.4957514508492318],[0.07912096191403782]
11,[0.4780587207326675],[0.061323543276937585],[0.47946046777949747],[0.065077166261297],[0.4803914180873579],[0.06437979648835207],[0.5247361245406783],[0.07918676019603649],[0.4956304194935648],[0.07911748418997978]
12,[0.4782335722290667],[0.061750088214056705],[0.47999510576094184],[0.06615319526043989],[0.4803390734014293],[0.06520999509203157],[0.525407999932498],[0.07918551484219644],[0.49540788967307514],[0.07911514038360289]
13,[0.4782049298498844],[0.06212267538056454],[0.47939665155957895],[0.06732315954829914],[0.48086862569926414],[0.06594613115162003],[0.5245849035962321],[0.0791876465866691],[0.49603179537338615],[0.07911290296252244]
14,[0.47811386351014834],[0.06249228201394626],[0.4798583275147379],[0.06845401859674488],[0.4806876905966271],[0.06670426310727537],[0.525834231182825],[0.07918745398617393],[0.49526440562099666],[0.07911133572840609]
15,[0.4773586322361597],[0.06292876843155641],[0.4791884751970565],[0.06967651720433289],[0.48127339231627886],[0.06739933673193564],[0.5257296327889873],[0.07918647223913573],[0.4950928512683072],[0.07910969948619377]
16,[0.47782078878776674],[0.06330859382422448],[0.4801265515863869],[0.07093520190804233],[0.481188577422462],[0.06804741625139561],[0.5245630693768325],[0.0791875519449936],[0.4952522187576762],[0.0791072691237393]
17,[0.4775458986014494],[0.06374709891325128],[0.47917413772601725],[0.07203379762927423],[0.4815730226471897],[0.06870183436549451],[0.5254959779423232],[0.07918495425374744],[0.4954616907426007],[0.07910459372285636]
18,[0.47746946454194417],[0.0640915132987687],[0.48012447556532306],[0.07323494016155958],[0.48152789242845406],[0.0692515550487898],[0.5247351181289647],[0.07918582155781839],[0.49609229942640515],[0.07910438969879367]
19,[0.47767601292495354],[0.0645060460169814],[0.4791078340430148],[0.07424224935652156],[0.48162323470463836],[0.06995715410693429],[0.5252057640636375],[0.07918394534180649],[0.4961044434546687],[0.07910318619901885]
