,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std,C1_mu,C1_std,C2_mu,C2_std,C3_mu,C3_std,g1_mu,g1_std,g2_mu,g2_std,g3_mu,g3_std
138,0.5165753510708111,0.43545285001131734,0.5669310590725104,0.4339167624544962,0.24335129625230437,0.4306146857939438,0.6154503585911393,0.433085831208252,0.42042909456584293,0.43382277732550634,0.5211534262696019,0.4351507405296222,0.7072934045845017,0.43081933457707045,0.22494096320564907,0.43044229009982043,0.4686986238826904,0.4346994893678806,0.7023511412962035,0.4320498465922482,0.5041964034237508,0.43543710994245527
139,0.5166349677162166,0.4350240056910392,0.5663448423413294,0.4334714850434005,0.24431751828029283,0.4301133077865696,0.614693550892182,0.4326289484763238,0.4211915229547728,0.43337167051788,0.5212520429512052,0.4347204464145553,0.7064304390460439,0.4303339171235904,0.22592579218389544,0.42993394487613823,0.469082723008332,0.43426642670720966,0.7014327549064094,0.4315742909193311,0.5041968883010897,0.43501140241213654
140,0.5166944990738951,0.43459564436299275,0.5657629176753226,0.4330267218497497,0.24528320919932248,0.42961203163986467,0.6139392777780566,0.4321725161085208,0.4219510838885161,0.43292098815989954,0.5213518218809022,0.434290658159764,0.7055689420905089,0.42984886135537986,0.2269102399304781,0.42942561584379524,0.4694614316616659,0.4338339600683428,0.7005154469470376,0.43109905375953356,0.5041968497103582,0.43458625847474974
141,0.5167539663377394,0.4341677653209729,0.5651852920821977,0.432582473760865,0.24624836403388636,0.4291108602398573,0.6131875485717545,0.4317165354702936,0.4227077634019917,0.4324707315060007,0.5214526489161496,0.43386137494750815,0.7047089217628512,0.4293641701367706,0.2278943020887956,0.4289173070119414,0.46983477106770133,0.43340208975202715,0.6995992246211699,0.4306241380722352,0.5041963447899601,0.4341616778877445
142,0.5168133600981497,0.4337403678586991,0.5646119722080558,0.4321387416380528,0.2472129777662486,0.4286097964605482,0.6124383725439027,0.431261007909233,0.42346154755106546,0.43202090179895686,0.5215544138283387,0.4334325959625994,0.7038503861429215,0.428879846305602,0.22887797428175455,0.4284090223894121,0.4702027632153493,0.43297081603216325,0.6986840951452642,0.43014954681167084,0.5041954265675163,0.43373766040929984
143,0.5168726436214456,0.43331345126990556,0.5640429643373953,0.431695526316622,0.24817704533767176,0.42810884316525594,0.6116917589133778,0.4308059347550097,0.42421242241672685,0.4315715002700243,0.5216570103057814,0.43300432039243103,0.7029933433461032,0.42839589267333067,0.2298612521120037,0.42790076598491567,0.470565430853105,0.43254013915629325,0.6977700657494604,0.42967528292671003,0.5041941440954179,0.4333142057983894
144,0.516931757718288,0.43288701484841136,0.5634782743931738,0.4312528286059113,0.24914056164964438,0.42760800320789916,0.610947716847929,0.4303513173193329,0.4249603741093106,0.4311225281390925,0.5217603359504238,0.4325765474269925,0.7021378015238594,0.427912312025165,0.2308441311621042,0.4273925418071411,0.47092279748380206,0.4321100593460953,0.6968571436777823,0.42920134936068843,0.504192542588368,0.4328913138148502
145,0.5169906265913757,0.4324610578882108,0.5629179079360435,0.4308106492893538,0.2501035215648199,0.4271072794340255,0.6102062554644303,0.42989715689597163,0.4257053887723472,0.4306739866148353,0.5218642922668254,0.43214927625886523,0.7012837688640243,0.4274291071202596,0.23182660699452914,0.4268843538646685,0.4712748873579609,0.4316805767978851,0.6959453361881174,0.4287277490513324,0.5041906635607184,0.432468984219462
146,0.5170491642317995,0.43203557968357714,0.562361870163003,0.43036898912456695,0.2510659199077395,0.4266066746816478,0.6094673838289247,0.4294434547608123,0.42644745258621786,0.43022587689485725,0.5219687846443285,0.43172250608320795,0.7004312535909228,0.42694628069195456,0.23280867515155876,0.42637620616577065,0.4716217254662735,0.4312516916831197,0.6950346505521046,0.4282544849307206,0.5041885449644883,0.4320472167740316
147,0.5171072810738214,0.43161057952914744,0.5618101659063022,0.4299278488434456,0.25202775146560047,0.4261061917820747,0.6087311109568884,0.4289902121718901,0.42718655177208253,0.42977820016583373,0.5220737223344466,0.4312962360977436,0.699580263965518,0.42646383544802247,0.2337903311552123,0.42586810271827175,0.4719633375321831,0.43082340414889997,0.6941250940551541,0.4277815599251914,0.5041862213302728,0.4316260112414668
148,0.5171648905117524,0.43118605671998106,0.5612627996330013,0.42948722915224447,0.25298901098919824,0.42560583356082565,0.6079974458138847,0.4285374303693672,0.4279226725962717,0.42933095760363543,0.5221790184244322,0.43087046550275376,0.6987308082856674,0.42598177407091165,0.23477157050727654,0.42536004752953094,0.4722997500049563,0.4303957143184654,0.6932166739966908,0.42730897695515985,0.5041837239116973,0.43120536738583864
149,0.5172219147374443,0.43076201055162217,0.5607197754447191,0.42904713073166056,0.2539496931939017,0.4251056028385417,0.6072663973163315,0.42808511057548737,0.4286558013748328,0.4288841503734299,0.5222845898061238,0.4304451935010776,0.6978828948863737,0.42550009921800686,0.23575238868935477,0.42485204460646137,0.47263099005274334,0.42996862229168553,0.6923093976904964,0.42683673893489477,0.5041810808315006,0.43078528497243374
150,0.5172782894500416,0.43033844032018537,0.5601810970767857,0.42860755423693486,0.25490979276042236,0.42460550243173656,0.6065379743319392,0.427633253994558,0.42938592447774765,0.4284377796297552,0.5223903571385886,0.4300204192981078,0.6970365321398531,0.4250188135219364,0.2367327811628192,0.42434409795545036,0.47295708555479893,0.4295421281455491,0.6914032724649528,0.4263648487723324,0.5041783172264769,0.4303657637678095
151,0.5173339672480568,0.4299153453224444,0.5596467678965447,0.4281685002979785,0.2558693043353014,0.4241055351533399,0.6058121856796451,0.4271818618129835,0.430113028332627,0.4279918465165712,0.5224962448043734,0.4295961421017807,0.6961917284553828,0.42453791959092796,0.23771274336864007,0.42383621158215357,0.47327806509256515,0.42911623193465337,0.6904983056631204,0.4258933093689491,0.5041754553901749,0.4299468035398531
152,0.5173889196631978,0.42949272485590007,0.5591167909013255,0.4277299695195105,0.25682822253127624,0.4236057038131374,0.605089040129237,0.4267309351993292,0.4308370994280965,0.42754635216729553,0.5226021808609511,0.42917236112256585,0.6953484922790745,0.42405742000918206,0.23869227072718932,0.42332838949127033,0.4735939579401029,0.428690933691692,0.6895945046427656,0.4254221236196497,0.5041725149146024,0.4295284040578368
