,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std,C1_mu,C1_std,C2_mu,C2_std,C3_mu,C3_std,g1_mu,g1_std,g2_mu,g2_std,g3_mu,g3_std
0,0.48451408090157033,0.0798119513673716,0.4881003259888785,0.05913894463441933,0.4785000631808267,0.05588725708318962,0.4991529111698394,0.0835305930596928,0.49725373587844296,0.06511673012699734,0.4754866098565836,0.11029126855317535,0.4773180225573878,0.1118993711726941,0.4786296493418831,0.1297147518548741,0.4998531701845559,0.15437541178098912,0.4871842741530144,0.15895100537164278,0.5185238024596421,0.27675923476770925
1,0.4845138943687632,0.08785590578787136,0.48810080094108416,0.05911660537713883,0.4785056531710168,0.056181423221369466,0.49915490128535833,0.06839810131002057,0.4972545614832606,0.06494737616134447,0.4755040649196716,0.1093149669189673,0.47731645207569395,0.11188123178671988,0.47860652319550306,0.12719891855725157,0.49962724349153653,0.14446014985434674,0.48731887179710925,0.15924198045389193,0.5186376338012263,0.2764641989993152
2,0.484521436826742,0.06245516429467394,0.4881008481147221,0.05909515905091863,0.47850533157888037,0.05589880925779859,0.49915505725815584,0.0683858234139008,0.4972585230944803,0.092113452735762,0.47549684282136995,0.10983910816371485,0.47733790303559376,0.11121666378629018,0.47863879081726735,0.14032136743983123,0.49963010579703215,0.14444051757780166,0.48721280902383984,0.15883802256101978,0.5187685239562306,0.2660813295617876
3,0.484525238795003,0.04282432204922284,0.48808752035611574,0.09437332776347072,0.4785403295819495,0.09728588044162498,0.4991536766013186,0.07486672796750538,0.49725468786809535,0.06497275489682874,0.47551850790681227,0.11337389337560733,0.4773141877100673,0.11186909678315884,0.47861948890129785,0.12708626506719817,0.499731051264183,0.14517901975599817,0.48710482145554107,0.15895123705942718,0.5188014716485888,0.2607274315829661
4,0.4845208651812738,0.06531260269574869,0.4880988184146128,0.05987784463757737,0.478504251005692,0.055809853091000096,0.4991547910093159,0.06839447517846788,0.4972550179763224,0.06497583637626132,0.47552767510977106,0.11615506089523985,0.4773247052149679,0.11199999312485322,0.4786089790442483,0.1272057242214607,0.4997262522971718,0.1451163498642583,0.48718012119701914,0.15895086137561482,0.5185532807858364,0.2770210155362844
5,0.48452604775042774,0.0428315353636092,0.4880985103866132,0.06353880117541492,0.47850085958086097,0.05589561756162878,0.49915498584659723,0.06838934908214807,0.49725429146380706,0.06514565398882032,0.4755223629863792,0.11411132454947702,0.47731495909958643,0.11187113209615916,0.4786108053450254,0.12721633114016734,0.4996061890173246,0.1445112382407165,0.48715510147651553,0.15895639866113204,0.5185134467328109,0.27670445234279095
6,0.48437287279297475,0.04283411976191491,0.4880945077479846,0.07616029190577185,0.4784997475501166,0.05588465735538311,0.49915510669927077,0.06837340205776128,0.49725409472370585,0.06516310360989618,0.4754747284952088,0.11033816649691301,0.4773197347215969,0.11192293849819543,0.4786277004641612,0.12879112541384072,0.49980122960509393,0.14954899817614484,0.4872826185627815,0.15792872485523576,0.518549039938761,0.2769327013188606
7,0.48452589646781397,0.04283325799254965,0.48810117763230154,0.05908313868967399,0.47850354716640786,0.055887294124537835,0.499155155965745,0.06836490379707234,0.4972543336057209,0.06515488944410007,0.47548122553469496,0.11038041123069194,0.4773224928357066,0.11196206828114075,0.4786113701887374,0.1272177020976487,0.49958987169453706,0.14457923403036857,0.48723075236960417,0.15867661432210245,0.5186080597013515,0.2768512864067048
8,0.4845249956677576,0.042823148868414006,0.48809501632221125,0.07997416297860846,0.4785001157618029,0.05588712536773319,0.49915494673115474,0.06835128954851846,0.4972552635170116,0.06504167827690756,0.4754969112383558,0.10982624551374018,0.4773158891249579,0.11187696354642779,0.47862033033048773,0.12708065904835109,0.4998444831095836,0.1536422681631984,0.4871072962305791,0.15895222994644131,0.5185731371800858,0.2770688887291136
9,0.48452531428122214,0.0428483827054889,0.4881001843368617,0.059151706320168376,0.47850915488307366,0.05971609548715824,0.49915452916734837,0.0683748880836593,0.49725388149596617,0.06512869897650368,0.47548903383002167,0.1101861710458876,0.47731510338615607,0.11187171008588409,0.4786167163249319,0.12718127099276977,0.49979564474840854,0.14933227248469833,0.4872543156531125,0.1581533897565608,0.5185902602164996,0.2769964756459356
10,0.4845254872448988,0.0428327003625234,0.48809675521780743,0.07066855703036212,0.4785016319733846,0.05588390943064067,0.49915452687773937,0.06835752517719651,0.49725373990086097,0.06511813802025777,0.47550466585036905,0.10936127175775517,0.47731440447023227,0.11186954588150907,0.47861700470402146,0.12717734151882926,0.4996394968348906,0.14451461079424063,0.4870997920519675,0.1589501289521853,0.5186333622533907,0.27653310325848857
11,0.4845188822576449,0.06981843009598786,0.4880910896557959,0.0895262907533091,0.4785042168515145,0.05583517944139259,0.4991551963976965,0.06837192312938628,0.4972628504662978,0.10344201131807161,0.47549041971745,0.11015235000014138,0.4773319231045622,0.11174399539483057,0.47861053211405585,0.12721281225747583,0.49958991517121387,0.14458195005021773,0.4872759216547139,0.1578519799062186,0.5185148234508433,0.27671281540286413
12,0.4845132396506957,0.08388271365315776,0.48809996693057545,0.05915724109845245,0.47850446723261963,0.05582418281085488,0.4991550896328705,0.06836784581804731,0.4972542418099682,0.06513704435890916,0.47547801263966005,0.11039202608119388,0.4773232359667047,0.11195060245812267,0.4786193910901854,0.12710631495202274,0.4996180755709166,0.1444441438073034,0.4870863191436478,0.15894800653303842,0.5185506728871957,0.27699944487536743
