,n,eta,s0,R,d
0,0.47228536546434985,0.5280814246195457,0.5645571750085148,0.5107226468374926,0.4367844005624699
1,0.46419194346090153,0.533338505895738,0.5477876219996037,0.5073634356228557,0.463088531437087
2,0.5774279279177856,0.4980093548250008,0.3307484501800071,0.47091803386233816,0.6119314582398927
3,0.2943890670584189,0.6087255416358002,1.0000000000000009,0.5009457627495475,0.33090352454164207
4,0.5410972354173124,0.5094003972356055,0.4137419998286181,0.5079543862893556,0.48487230478790755
5,0.4998266955642512,0.5172769577989094,0.636616570699395,0.5536552397005388,0.2887813910772449
6,0.549796434926617,0.5056751002585919,0.4376659015184705,0.5135619569617363,0.44580684674048165
7,0.45632274995611966,0.52500939120367,0.6304794334185552,0.49651020729160944,0.4416028570124052
8,0.6760298453435992,0.49309625275484736,0.2179475202513221,0.5372409806049538,0.41919078917053404
9,1.0000000000000009,0.2830463935375409,1.0000000000000024,0.4154639435991713,0.12278028296702682
