,n,eta,s0,R,d
0,0.4104160816444888,0.5338839048999977,0.6343567070673711,0.5022196213515561,0.5665789228256021
1,0.43646267274877926,0.5200773358252043,0.6427397337091917,0.5085939735001337,0.5151410711794846
2,0.3085632332700008,0.5746843690094235,1.000000000000006,0.4981278043488791,0.4043645488587051
3,0.5450194397712849,0.47727006167139546,0.5276491177549587,0.5077177758671467,0.501336087304311
4,0.36885406846197855,0.5609122128544946,0.6586337952679395,0.5055894991185792,0.5793724387393211
5,0.3569484364170386,0.5206852161953578,1.0000000000000009,0.45607982511163,0.4640824829249763
6,0.57963353866891,0.43098097690054876,0.36073729254607917,0.4284635604202105,1.000000000000004
7,0.39117553368813324,0.5380448820660669,0.3742677747700812,0.4819841356678094,1.0000000000000007
8,0.5506642585361369,0.47737329908242604,0.6209401260442009,0.5525599895700176,0.3385088790240134
9,0.58813958149295,0.475234462952788,0.3951806615679616,0.5125241144474844,0.5442663048331003
