,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std
0,[0.5078579516035202],[0.07546468216573399],[0.5089710092551707],[0.07544934690220705],[0.506970971587581],[0.07565548520625792],[0.5165673318372984],[0.09719053529898007],[0.512768219563039],[0.09989726641173872]
1,[0.5048762019273505],[0.07222310386204679],[0.5056490157504513],[0.07220824019823108],[0.5043984228296307],[0.07243864712714386],[0.5153943151302249],[0.12564084155958277],[0.5292736210546304],[0.13669808375363773]
2,[0.5046804677433169],[0.07240701242526737],[0.5049598516949776],[0.07203480333677893],[0.5044906959390102],[0.07271863327151212],[0.5179771025970106],[0.12594000147976872],[0.5286785728831151],[0.13644279967405204]
3,[0.5046773282064031],[0.07262442199979656],[0.505058801286157],[0.07197187778396201],[0.5043212679624561],[0.07311164640192765],[0.516661554759521],[0.12593320862507795],[0.5313251963660284],[0.13644479619668035]
4,[0.5047963142754824],[0.07288241847035362],[0.5052852463269863],[0.07208164295326562],[0.504768203313925],[0.07358189080143943],[0.5160175047060631],[0.12593545501683803],[0.5306072855322784],[0.1364418017486731]
5,[0.5046634160085971],[0.07322444819946992],[0.5052396057325585],[0.07226855103365544],[0.5049527121555084],[0.07415086844060398],[0.5152024449952277],[0.12594274679000764],[0.530216468619661],[0.13644280365501105]
6,[0.5049743332744319],[0.07359470508686843],[0.5047028619717493],[0.07256907837127057],[0.5057747820231764],[0.07480586950452317],[0.5178267721530453],[0.12594284037674702],[0.5317420463456992],[0.13645544802498466]
7,[0.5050292590280964],[0.07398553174265199],[0.5046028960521666],[0.07293571564918587],[0.5058676668338171],[0.07554645700944052],[0.5164771274841816],[0.125937639825415],[0.5316536459736044],[0.13645619855519744]
8,[0.5055180251150023],[0.0744591111060811],[0.5036366361249972],[0.07334743122254503],[0.5066472076623209],[0.07636473580900317],[0.5176176589315392],[0.12594295906033467],[0.5297235355632279],[0.1364482268491264]
9,[0.5053023053250301],[0.07490692184645063],[0.5036663425500673],[0.07392650536985759],[0.5059320650840515],[0.07714118452644196],[0.5167233054433775],[0.12593974787474765],[0.531627750910627],[0.13645872199713432]
10,[0.5062907622642754],[0.0755141687933052],[0.5032552335923886],[0.07442716857203355],[0.5070775061882515],[0.07810807574340607],[0.5151797916588385],[0.1259478376323137],[0.5312095046519348],[0.13645696418943873]
11,[0.5063049082164723],[0.07596643102226987],[0.5033499743125484],[0.0751895983615082],[0.5065172416424298],[0.07903996360997204],[0.516198066553611],[0.1259418122644225],[0.5287326077848916],[0.13645899267720554]
12,[0.5056941501885677],[0.07659884757398133],[0.5022424939303431],[0.07575432184660055],[0.5076457662620214],[0.08020408276211395],[0.5169090565889568],[0.12594229168999344],[0.5280371343515197],[0.13647011120756297]
13,[0.5057978681106606],[0.07716215016866516],[0.5022608627464954],[0.07657454551223886],[0.5082702679777482],[0.08123322314887414],[0.5156036562212671],[0.12594648488322713],[0.5317152292919427],[0.1364680880415795]
14,[0.5066888128301498],[0.07781305607970758],[0.5020479350519657],[0.07718773152987814],[0.5073410274909873],[0.08254809338808632],[0.517396867956662],[0.1259462751964692],[0.5290672107047255],[0.13646371572261012]
15,[0.5066832004058436],[0.0784185876646515],[0.5025908078772626],[0.07804940098330075],[0.5083290231254195],[0.08368886972542938],[0.5169203780778241],[0.12594500739397807],[0.5311552835071074],[0.13646686673119057]
16,[0.5063241296594637],[0.07901648274293965],[0.5013411815734948],[0.07870279679204466],[0.5085276469718452],[0.08508420629454486],[0.5177938650446904],[0.12595100935039846],[0.5308774614245515],[0.13646733919597834]
17,[0.507198350781394],[0.079576387205961],[0.5015697294346432],[0.07960993030764371],[0.5090696018184168],[0.08628757793347269],[0.5164314809900478],[0.12594602299637997],[0.5291151918303769],[0.13646842025154032]
18,[0.5064646318331623],[0.08013815484248184],[0.502086682852272],[0.08019218360836831],[0.5087472170871349],[0.08774988626651858],[0.5172824920829255],[0.12594855699190713],[0.5311303182989633],[0.13647306274124726]
19,[0.5067422850964665],[0.08061895994519451],[0.5009715870644424],[0.08106890287085358],[0.5087097089577725],[0.08889487470182005],[0.5175408443817993],[0.1259511506494799],[0.5294306849943442],[0.13646999013646552]
