,n,eta,s0,R,d
0,0.4019951250280185,0.5692923866405811,0.5518581653714041,0.4875673234150119,0.5695670957937746
1,0.6297088220507302,0.41555234925991485,0.7474905369102206,0.44755846106060543,0.3531132561944146
2,0.6319827897951784,0.45448319686981453,0.3739269912492991,0.44586620460035187,0.6216015075482411
3,0.4349181256941519,0.545183044618617,0.20268083902458767,0.47775740245910825,1.0000000000000004
4,0.49798039417910556,0.5219539974477494,0.48552761067161765,0.5072424753330428,0.47598529562315417
5,0.4876264309642641,0.526817705173222,0.5822223176786627,0.5382946868073821,0.3531120136761305
6,0.42274393536577626,0.5535980226367765,0.5754525022214892,0.4581255199893333,0.6061982811083413
7,0.5076409664481343,0.5106102182766316,0.4632062480463825,0.46591747508059617,0.5964559561983328
8,0.12252809069562239,1.000000000000005,0.5889627032678699,0.5502607204210207,0.6172792479858986
9,0.41567114279120526,0.553612834966482,0.6268499549031259,0.5063161292353292,0.4550227950008776
