,n,eta,s0,R,d
0,0.4441045675635426,0.5177518289078394,0.6109805072685578,0.5067379504269237,0.5375285305817951
1,0.4252748823588319,0.5246655754874311,0.6637749015291504,0.5080560223277776,0.5113405543284829
2,0.3959907559714095,0.5387191475166361,0.7353932505779043,0.5136706630604848,0.47099172966316705
3,0.6263342059077325,0.4677631277445885,0.4234874511360773,0.5305128142894,0.438901289941046
4,0.8235277156562811,0.4553814513644417,-4.783849582258564e-16,0.5186569402493993,0.589719585001891
5,0.6812914853423965,0.48592767226764016,-7.453489833657382e-16,0.5341327665605207,0.7016114257793794
6,0.5394335824248174,0.5086243506317337,0.447619070215073,0.5469410073965087,0.4492427877850194
7,0.577595737897537,0.46413183052777074,0.5012525687899538,0.5001410097887624,0.5123728805628428
8,0.46493654259449485,0.5090624279757732,0.5945510824952941,0.5098602431321275,0.5208484141846924
9,0.5864497649766792,0.5471806908004647,0.28611533174545994,0.6065367036844254,0.35262705664257343
